"","pcc_ids","sak_ids"
"407","PCCGCIGL_00591","SAKL0A09394g"
"408","PCCGCIGL_00593","SAKL0A09416g"
"409","PCCGCIGL_00595","SAKL0A09438g"
"410","PCCGCIGL_00597","SAKL0A09460g"
"411","PCCGCIGL_00602","SAKL0A09482g"
"412","PCCGCIGL_00603","SAKL0A09504g"
"413","PCCGCIGL_00605","SAKL0A09526g"
"414","PCCGCIGL_00606","SAKL0A09548g"
"415","PCCGCIGL_00608","SAKL0A09570g"
"416","PCCGCIGL_00609","SAKL0A09592g"
"417","PCCGCIGL_00610","SAKL0A09614g"
"418","PCCGCIGL_00613","SAKL0A09636g"
"419","PCCGCIGL_00615","SAKL0A09658g"
"420","PCCGCIGL_00616","SAKL0A09680g"
"421","PCCGCIGL_00617","SAKL0A09702g"
"422","PCCGCIGL_00618","SAKL0A09724g"
"423","PCCGCIGL_00621","SAKL0A09746g"
"424","PCCGCIGL_00623","SAKL0A09768g"
"425","PCCGCIGL_00624","SAKL0A09790g"
"426","PCCGCIGL_00625","SAKL0A09812g"
"427","PCCGCIGL_00626","SAKL0A09834g"
"428","PCCGCIGL_00627","SAKL0A09856g"
"429","PCCGCIGL_00628","Sklu_1.trna9M"
"430","PCCGCIGL_00629","SAKL0A09900g"
"431","PCCGCIGL_00631","SAKL0A09922g"
"432","PCCGCIGL_00633","SAKL0A09966g"
"433","PCCGCIGL_00635","SAKL0A09988g"
"434","PCCGCIGL_00637","SAKL0A10010g"
"435","PCCGCIGL_00638","SAKL0A10032g"
"436","PCCGCIGL_00640","SAKL0A10054g"
"437","PCCGCIGL_00642","SAKL0A10076g"
"438","PCCGCIGL_00644","SAKL0A10098g"
"439","PCCGCIGL_00647","SAKL0A10120g"
"440","PCCGCIGL_00648","SAKL0A10142g"
"441","PCCGCIGL_00649","Sklu_1.trna10T"
"442","PCCGCIGL_00650","SAKL0A10186g"
"443","PCCGCIGL_00651","SAKL0A10208g"
"444","PCCGCIGL_00652","SAKL0A10230g"
"445","PCCGCIGL_00653","SAKL0A10252g"
"446","PCCGCIGL_00654","SAKL0A10274g"
"447","PCCGCIGL_00655","SAKL0A10318g"
"448","PCCGCIGL_00656","SAKL0A10340g"
"449","PCCGCIGL_00657","SAKL0A10362g"
"450","PCCGCIGL_00658","SAKL0A10384g"
"451","PCCGCIGL_00659","SAKL0A10406g"
"452","PCCGCIGL_00662","SAKL0A10428g"
"453","PCCGCIGL_00664","SAKL0A10450g"
"454","PCCGCIGL_00666","SAKL0A10472g"
"455","PCCGCIGL_00672","SAKL0A10516g"
"456","PCCGCIGL_00673","SAKL0A10538g"
"457","PCCGCIGL_00675","SAKL0A10560g"
"458","PCCGCIGL_00678","SAKL0A10582g"
"459","PCCGCIGL_00679","SAKL0A10604g"
"460","PCCGCIGL_00682","SAKL0A10626g"
"461","PCCGCIGL_00683","SAKL0A10648g"
"462","PCCGCIGL_00685","SAKL0A10670g"
"463","PCCGCIGL_00702","SAKL0B00110g"
"464","PCCGCIGL_00705","SAKL0B00132g"
"465","PCCGCIGL_00708","SAKL0B00154g"
"466","PCCGCIGL_00711","SAKL0B00176g"
"467","PCCGCIGL_00714","SAKL0B00198g"
"468","PCCGCIGL_00717","SAKL0B00220g"
"469","PCCGCIGL_00718","SAKL0B00242g"
"470","PCCGCIGL_00721","SAKL0B00264g"
"471","PCCGCIGL_00723","SAKL0B00286g"
"472","PCCGCIGL_00725","SAKL0B00308g"
"473","PCCGCIGL_00747","SAKL0B00440g"
"474","PCCGCIGL_00750","SAKL0B00462g"
"475","PCCGCIGL_00752","SAKL0B00484g"
"476","PCCGCIGL_00753","SAKL0B00506g"
"477","PCCGCIGL_00754","SAKL0B00528g"
"478","PCCGCIGL_00755","SAKL0B00550g"
"479","PCCGCIGL_00756","SAKL0B00572g"
"480","PCCGCIGL_00757","SAKL0B00594g"
"481","PCCGCIGL_00759","SAKL0B00616g"
"482","PCCGCIGL_00760","SAKL0B00638g"
"483","PCCGCIGL_00761","SAKL0B00660g"
"484","PCCGCIGL_00762","SAKL0B00682g"
"485","PCCGCIGL_00765","SAKL0B00704g"
"486","PCCGCIGL_00766","SAKL0B00726g"
"487","PCCGCIGL_00768","SAKL0B00748g"
"488","PCCGCIGL_00769","SAKL0B00770g"
"489","PCCGCIGL_00771","SAKL0B00792g"
"490","PCCGCIGL_00773","SAKL0B00814g"
"491","PCCGCIGL_00775","SAKL0B00836g"
"492","PCCGCIGL_00777","SAKL0B00858g"
"493","PCCGCIGL_00778","SAKL0B00880g"
"494","PCCGCIGL_00779","SAKL0B00902g"
"495","PCCGCIGL_00780","SAKL0B00924g"
"496","PCCGCIGL_00783","SAKL0B00946g"
"497","PCCGCIGL_00784","SAKL0B00968g"
"498","PCCGCIGL_00785","SAKL0B00990g"
"499","PCCGCIGL_00786","SAKL0B01012g"
"500","PCCGCIGL_00787","SAKL0B01034g"
"501","PCCGCIGL_00788","SAKL0B01056g"
"502","PCCGCIGL_00791","SAKL0B01078g"
"503","PCCGCIGL_00792","SAKL0B01100g"
"504","PCCGCIGL_00793","SAKL0B01122g"
"505","PCCGCIGL_00794","SAKL0B01144g"
"506","PCCGCIGL_00795","SAKL0B01166g"
"507","PCCGCIGL_00796","SAKL0B01188g"
"508","PCCGCIGL_00797","SAKL0B01210g"
"509","PCCGCIGL_00799","SAKL0B01232g"
"510","PCCGCIGL_00800","SAKL0B01254g"
"511","PCCGCIGL_00801","SAKL0B01276g"
"512","PCCGCIGL_00803","SAKL0B01298g"
"513","PCCGCIGL_00804","SAKL0B01320g"
"514","PCCGCIGL_00806","SAKL0B01342g"
"515","PCCGCIGL_00808","SAKL0B01364g"
"516","PCCGCIGL_00812","SAKL0B01386g"
"517","PCCGCIGL_00814","SAKL0B01408g"
"518","PCCGCIGL_00820","SAKL0B01430g"
"519","PCCGCIGL_00823","SAKL0B01452g"
"520","PCCGCIGL_00828","Sklu_YGOB_Kwal_14.1254"
"521","PCCGCIGL_00829","SAKL0B01474g"
"522","PCCGCIGL_00830","SAKL0B01496g"
"523","PCCGCIGL_00831","SAKL0B01518g"
"524","PCCGCIGL_00832","SAKL0B01540g"
"525","PCCGCIGL_00833","SAKL0B01562g"
"526","PCCGCIGL_00834","SAKL0B01584g"
"527","PCCGCIGL_00835","SAKL0B01606g"
"528","PCCGCIGL_00836","SAKL0B01628g"
"529","PCCGCIGL_00837","Sklu_YGOB_BUD27"
"530","PCCGCIGL_00838","Sklu_YGOB_Anc_8.48"
"531","PCCGCIGL_00840","SAKL0B01672g"
